HGT,UWind,VWind,latitude,longitude,forecast_time_hr,forecast_time_unix
837.8334,1.6172754,-10.576047,37.0,-77.5,12,1745762400
866.55334,-1.6127247,-2.6460474,37.25,-81.5,12,1745762400
865.41736,-0.11272461,-2.4660473,37.25,-81.25,12,1745762400
862.4734,0.5072754,-3.0860474,37.25,-81.0,12,1745762400
859.1614,1.8572754,-3.4060473,37.25,-80.75,12,1745762400
855.6894,1.2172754,-4.1860476,37.25,-80.5,12,1745762400
853.84937,0.79727536,-3.8660474,37.25,-80.25,12,1745762400
852.52136,1.7972754,-4.6660476,37.25,-80.0,12,1745762400
850.52136,2.3172753,-6.8460474,37.25,-79.75,12,1745762400
848.8094,0.8772754,-3.7860475,37.25,-79.5,12,1745762400
848.42535,1.2672753,-6.3260474,37.25,-79.25,12,1745762400
847.19336,0.2972754,-5.5360475,37.25,-79.0,12,1745762400
846.2334,-0.02272461,-5.5960474,37.25,-78.75,12,1745762400
844.74536,0.5672754,-8.826047,37.25,-78.5,12,1745762400
842.63336,0.8372754,-8.936048,37.25,-78.25,12,1745762400
840.87335,1.0872754,-8.546047,37.25,-78.0,12,1745762400
839.3534,1.6072754,-9.586047,37.25,-77.75,12,1745762400
837.75336,2.2972753,-10.366047,37.25,-77.5,12,1745762400
867.1454,-3.6827247,-4.7060475,37.5,-81.5,12,1745762400
865.54535,-1.9127246,-4.7660475,37.5,-81.25,12,1745762400
863.9294,-0.4127246,-4.4360476,37.5,-81.0,12,1745762400
862.20135,0.43727538,-4.086047,37.5,-80.75,12,1745762400
860.10535,0.98727536,-3.5460474,37.5,-80.5,12,1745762400
856.21735,1.5272754,-2.9860473,37.5,-80.25,12,1745762400
852.63336,1.9872754,-4.626047,37.5,-80.0,12,1745762400
850.95337,1.4672754,-4.8260474,37.5,-79.75,12,1745762400
849.3374,1.2272754,-3.9160473,37.5,-79.5,12,1745762400
847.51337,2.3772755,-5.1160474,37.5,-79.25,12,1745762400
846.64935,0.91727537,-4.566047,37.5,-79.0,12,1745762400
845.19336,0.8772754,-4.4260473,37.5,-78.75,12,1745762400
843.99335,1.1872754,-8.586047,37.5,-78.5,12,1745762400
842.3454,1.9372754,-9.2660475,37.5,-78.25,12,1745762400
840.18536,1.8072754,-8.5160475,37.5,-78.0,12,1745762400
838.6974,2.2472754,-10.616047,37.5,-77.75,12,1745762400
836.96936,3.4272754,-11.946048,37.5,-77.5,12,1745762400
1081.8075,0.8536499,-2.10083,36.5,-81.5,12,1745762400
1081.1355,1.1036499,-5.46083,36.5,-81.25,12,1745762400
1079.1035,1.76365,-7.95083,36.5,-81.0,12,1745762400
1077.0555,0.4436499,-8.23083,36.5,-80.75,12,1745762400
1077.1195,-0.4863501,-7.00083,36.5,-80.5,12,1745762400
1076.9275,-0.9563501,-6.30083,36.5,-80.25,12,1745762400
1075.9835,-1.6763501,-7.35083,36.5,-80.0,12,1745762400
1075.1195,-1.98635,-8.94083,36.5,-79.75,12,1745762400
1073.7595,-2.24635,-7.99083,36.5,-79.5,12,1745762400
1073.5195,-1.4763501,-9.04083,36.5,-79.25,12,1745762400
1071.5195,-1.48635,-9.55083,36.5,-79.0,12,1745762400
1069.2476,-1.5563501,-8.60083,36.5,-78.75,12,1745762400
1068.1595,-1.00635,-10.54083,36.5,-78.5,12,1745762400
1067.0074,-0.3163501,-10.06083,36.5,-78.25,12,1745762400
1065.5035,0.2536499,-10.08083,36.5,-78.0,12,1745762400
1063.3755,0.6036499,-11.42083,36.5,-77.75,12,1745762400
1061.2795,1.1036499,-11.60083,36.5,-77.5,12,1745762400
1085.7115,0.0036499023,-2.61083,36.75,-81.5,12,1745762400
1084.0475,1.0436499,-4.71083,36.75,-81.25,12,1745762400
1082.0315,2.1536498,-7.9208302,36.75,-81.0,12,1745762400
1079.7915,1.5836499,-8.75083,36.75,-80.75,12,1745762400
1077.9515,1.0736499,-8.9108305,36.75,-80.5,12,1745762400
1077.0715,0.6136499,-6.8808303,36.75,-80.25,12,1745762400
1076.2875,-0.4763501,-6.81083,36.75,-80.0,12,1745762400
1075.2476,-0.7563501,-8.98083,36.75,-79.75,12,1745762400
1074.2555,-1.2663502,-8.28083,36.75,-79.5,12,1745762400
1073.9034,-1.4763501,-9.05083,36.75,-79.25,12,1745762400
1071.9995,-1.3363501,-9.67083,36.75,-79.0,12,1745762400
1070.0155,-1.0163502,-9.45083,36.75,-78.75,12,1745762400
1068.2715,-1.3563501,-11.23083,36.75,-78.5,12,1745762400
1066.3354,-0.3563501,-11.11083,36.75,-78.25,12,1745762400
1064.6075,-0.2363501,-11.05083,36.75,-78.0,12,1745762400
1062.9755,0.5436499,-12.33083,36.75,-77.75,12,1745762400
1060.8315,1.1536499,-12.18083,36.75,-77.5,12,1745762400
1086.4475,-0.9463501,-2.93083,37.0,-81.5,12,1745762400
1085.7755,0.6036499,-3.9808302,37.0,-81.25,12,1745762400
1084.0315,1.5936499,-5.31083,37.0,-81.0,12,1745762400
1081.8235,1.4136499,-6.21083,37.0,-80.75,12,1745762400
1080.0155,1.6136498,-7.34083,37.0,-80.5,12,1745762400
1077.8555,1.5236499,-6.34083,37.0,-80.25,12,1745762400
1076.3995,0.5336499,-6.72083,37.0,-80.0,12,1745762400
1075.0875,0.3436499,-9.45083,37.0,-79.75,12,1745762400
1073.8395,-0.6163501,-7.3808303,37.0,-79.5,12,1745762400
1073.2155,-0.6463501,-8.45083,37.0,-79.25,12,1745762400
